# Minitial =  1.25 msun, Z = 0.0016, Mfinal = 0.646 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ge71     71   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ge72     72   9.4039443E-11  2.5798366E-09  2.4857971E-09  4.2712527E-09  4.1159862E-09  1.6081370E-02
   ge73     73   2.6956604E-11  8.6440388E-10  8.3744728E-10  1.4311323E-09  1.3866464E-09  1.3714087E-02
   ge74     74   1.2436097E-10  4.1512069E-09  4.0268460E-09  6.8728596E-09  6.6676575E-09  1.3164208E-02
   as75     75   1.0177525E-11  7.2878570E-10  7.1860817E-10  1.2065989E-09  1.1898724E-09  6.0625379E-03
   se76     76   4.5484880E-11  2.7388414E-10  2.2839926E-10  4.5345058E-10  3.7818382E-10  7.8827046E-02
   se77     77   1.6879997E-11  4.7984250E-10  4.6296250E-10  7.9444124E-10  7.6657397E-10  1.5507706E-02
   se78     78   1.2249701E-10  1.4069502E-09  1.2844532E-09  2.3293878E-09  2.1267994E-09  3.9515253E-02
   se79     79   1.6091734E-11  1.6091734E-11  0.0000000E+00  2.6641944E-11  0.0000000E+00  0.0000000E+00
   se80     80   1.6047341E-10  3.6968131E-09  3.5363397E-09  6.1205516E-09  5.8554761E-09  1.9228373E-02
   br79     79   1.2299113E-11  5.3500100E-11  4.1200987E-11  8.8576327E-11  6.8220651E-11  1.1340182E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   1.9250934E-11  1.1584460E-09  1.1391951E-09  1.9179571E-09  1.8862807E-09  7.2325533E-03
   kr80     80  -5.2687021E-14  5.2666989E-11  5.2719676E-11  8.7197007E-11  8.7293311E-11 -4.7938788E-04
   kr81     81   6.3986475E-14  6.3986475E-14  0.0000000E+00  1.0593788E-13  0.0000000E+00  0.0000000E+00
   kr82     82   9.3761443E-11  4.2228132E-10  3.2851988E-10  6.9914130E-10  5.4396371E-10  1.0899505E-01
   kr83     83   3.0792147E-11  6.4197508E-10  6.1118294E-10  1.0628727E-09  1.0119976E-09  2.1301782E-02
   kr84     84   2.3653524E-10  3.2613354E-09  3.0248002E-09  5.3995621E-09  5.0084683E-09  3.2653607E-02
   kr-5     85   8.6558756E-22  8.6558756E-22  0.0000000E+00  1.4330920E-21  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   1.9831431E-10  8.5428681E-10  6.5597250E-10  1.4143822E-09  1.0861602E-09  1.1467291E-01
   rb85     85   5.9077132E-11  4.8142790E-10  4.2235077E-10  7.9706608E-10  6.9932904E-10  5.6812786E-02
   rb86     86   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   rb87     87   2.0411756E-11  1.5884348E-10  1.3843172E-10  2.6298591E-10  2.2921544E-10  5.9688639E-02
   sr86     86   7.8196796E-11  1.9537739E-10  1.1718060E-10  3.2347253E-10  1.9402781E-10  2.2197342E-01
   sr87     87   6.1880001E-11  1.4291077E-10  8.1030765E-11  2.3660723E-10  1.3417085E-10  2.4636981E-01
   sr88     88   1.0962597E-09  2.4248961E-09  1.3286363E-09  4.0147285E-09  2.1999580E-09  2.6124182E-01
   sr89     89   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   sr90     90   3.9642490E-18  3.9642490E-18  0.0000000E+00  6.5633266E-18  0.0000000E+00  0.0000000E+00
    y89     89   3.2502642E-10  7.0615613E-10  3.8112971E-10  1.1691327E-09  6.3107508E-10  2.6778278E-01
    y90     90   1.0025282E-21  1.0025282E-21  0.0000000E+00  1.6598149E-21  0.0000000E+00  0.0000000E+00
    y91     91   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr90     90   3.7098610E-10  7.7853801E-10  4.0755191E-10  1.2889703E-09  6.7482503E-10  2.8105170E-01
   zr91     91   1.0469400E-10  1.7861189E-10  7.3917886E-11  2.9571506E-10  1.2239335E-10  3.8311565E-01
   zr92     92   1.8668586E-10  3.4377537E-10  1.5708951E-10  5.6916455E-10  2.6010902E-10  3.4008241E-01
   zr93     93   5.0943940E-11  5.0943940E-11  0.0000000E+00  8.4344275E-11  0.0000000E+00  0.0000000E+00
   zr94     94   2.2805138E-10  3.5631417E-10  1.2826279E-10  5.8992417E-10  2.1237773E-10  4.4368723E-01
   zr95     95   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zr96     96   2.1159369E-11  6.7853029E-11  4.6693659E-11  1.1233946E-10  7.7315425E-11  1.6226617E-01
   nb93     93   5.9956276E-12  7.3820387E-11  6.7824760E-11  1.2221919E-10  1.1230433E-10  3.6742918E-02
   nb94     94   1.7398026E-15  1.7398026E-15  0.0000000E+00  2.8804681E-15  0.0000000E+00  0.0000000E+00
   nb95     95   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   mo94     94  -2.4711136E-14  2.5509759E-11  2.5534470E-11  4.2234702E-11  4.2280013E-11 -4.6567927E-04
   mo95     95   2.5479143E-11  6.9875571E-11  4.4396428E-11  1.1568804E-10  7.3511669E-11  1.9693217E-01
   mo96     96   4.8185643E-11  7.7618786E-11  2.9433143E-11  1.2850793E-10  4.8735443E-11  4.2108500E-01
   mo97     97   1.5981914E-11  3.9431333E-11  2.3449419E-11  6.5283667E-11  3.8827584E-11  2.2566420E-01
   mo98     98   5.8733629E-11  1.0602304E-10  4.7289405E-11  1.7553484E-10  7.8301865E-11  3.5059118E-01
   tc99     99   3.5420523E-12  3.5420523E-12  0.0000000E+00  5.8643251E-12  0.0000000E+00  0.0000000E+00
   ru99     99   3.9817490E-12  7.1128910E-12  3.1311423E-12  1.1776310E-11  5.1845494E-12  3.5629821E-01
  ru100    100   2.9276692E-11  4.4896663E-11  1.5619972E-11  7.4332228E-11  2.5863572E-11  4.5848864E-01
  ru101    101   6.1768923E-12  5.2994827E-11  4.6817935E-11  8.7739788E-11  7.7521205E-11  5.3776070E-02
  ru102    102   4.1215573E-11  1.1247447E-10  7.1258895E-11  1.8621601E-10  1.1799059E-10  1.9816965E-01
  rh103    103   6.8009140E-12  5.8718939E-11  5.1918025E-11  9.7216790E-11  8.5965943E-11  5.3414829E-02
  pd104    104   2.2985565E-11  3.4061431E-11  1.1075866E-11  5.6393099E-11  1.8339436E-11  4.8783997E-01
  pd105    105   5.6656901E-12  5.4170380E-11  4.8504690E-11  8.9686064E-11  8.0314137E-11  4.7932968E-02
  pd106    106   2.6858262E-11  7.2753165E-11  4.5894902E-11  1.2045226E-10  7.5992844E-11  2.0004225E-01
  pd107    107   5.2112850E-12  5.2112850E-12  0.0000000E+00  8.6279560E-12  0.0000000E+00  0.0000000E+00
  pd108    108   3.4651788E-11  7.5795745E-11  4.1143956E-11  1.2548965E-10  6.8126227E-11  2.6529357E-01
