# Minitial =  6.50 msun, Z = 0.0016, Mfinal = 1.046 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ga71     71   3.4175013E-08  4.3369891E-08  9.1948786E-09  7.9519422E-09  1.6859976E-09  6.7361629E-01
   ge70     70   5.8124925E-08  6.4244865E-08  6.1199388E-09  1.1779403E-08  1.1221682E-09  1.0210654E+00
   ge71     71   1.2709889E-25  1.2709889E-25  0.0000000E+00  2.3303794E-26  0.0000000E+00  0.0000000E+00
   ge72     72   5.8989965E-08  8.1437207E-08  2.2447242E-08  1.4931647E-08  4.1159862E-09  5.5963385E-01
   ge73     73   1.7779083E-08  2.5341400E-08  7.5623161E-09  4.6463882E-09  1.3866464E-09  5.2514976E-01
   ge74     74   7.8474720E-08  1.1483795E-07  3.6363225E-08  2.1055730E-08  6.6676575E-09  4.9939704E-01
   as75     75   7.1323263E-09  1.3621501E-08  6.4891750E-09  2.4975251E-09  1.1898724E-09  3.2200947E-01
   se76     76   2.5487678E-08  2.7550168E-08  2.0624908E-09  5.0513695E-09  3.7818382E-10  1.1257062E+00
   se77     77   1.0002053E-08  1.4182697E-08  4.1806434E-09  2.6004212E-09  7.6657397E-10  5.3048962E-01
   se78     78   6.5744203E-08  7.7343074E-08  1.1598869E-08  1.4180982E-08  2.1267994E-09  8.2397979E-01
   se79     79   1.3016563E-08  1.3016563E-08  0.0000000E+00  2.3866085E-09  0.0000000E+00  0.0000000E+00
   se80     80   8.3173205E-08  1.1510706E-07  3.1933851E-08  2.1105071E-08  5.8554761E-09  5.5682468E-01
   br79     79   1.9583255E-09  2.3303786E-09  3.7205311E-10  4.2727880E-10  6.8220651E-11  7.9679549E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   1.0954080E-08  2.1241238E-08  1.0287158E-08  3.8946166E-09  1.8862807E-09  3.1485838E-01
   kr80     80  -5.8818506E-12  4.7018733E-10  4.7606918E-10  8.6209630E-11  8.7293311E-11 -5.4251971E-03
   kr81     81   1.4653869E-12  1.4653869E-12  0.0000000E+00  2.6868115E-13  0.0000000E+00  0.0000000E+00
   kr82     82   3.7809748E-08  4.0776349E-08  2.9666001E-09  7.4764115E-09  5.4396371E-10  1.1381233E+00
   kr83     83   1.3651404E-08  1.9170507E-08  5.5191038E-09  3.5149443E-09  1.0119976E-09  5.4073900E-01
   kr84     84   8.7716110E-08  1.1503066E-07  2.7314549E-08  2.1091063E-08  5.0084683E-09  6.2439352E-01
   kr-5     85   7.7532859E-12  7.7532859E-12  0.0000000E+00  1.4215779E-12  0.0000000E+00  0.0000000E+00
