# Minitial =  2.50 msun, Z = 0.0016, Mfinal = 0.680 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ge70     70   3.1573884E-09  5.1995936E-09  2.0422053E-09  2.8569196E-09  1.1221682E-09  4.0584004E-01
   ge71     71   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ge72     72   3.2971181E-09  1.0787696E-08  7.4905779E-09  5.9273058E-09  4.1159862E-09  1.5838343E-01
   ge73     73   9.8558806E-10  3.5091101E-09  2.5235221E-09  1.9280826E-09  1.3866464E-09  1.4315991E-01
   ge74     74   4.9750728E-09  1.7109372E-08  1.2134299E-08  9.4007540E-09  6.6676575E-09  1.4918941E-01
   as75     75   4.1260928E-10  2.5780276E-09  2.1654183E-09  1.4164987E-09  1.1898724E-09  7.5715803E-02
   se76     76   1.8385053E-09  2.5267524E-09  6.8824701E-10  1.3883256E-09  3.7818382E-10  5.6478840E-01
   se77     77   6.8502559E-10  2.0800939E-09  1.3950683E-09  1.1429088E-09  7.6657397E-10  1.7345749E-01
   se78     78   5.0527458E-09  8.9232532E-09  3.8705075E-09  4.9028865E-09  2.1267994E-09  3.6272529E-01
   se79     79   6.1485872E-10  6.1485872E-10  0.0000000E+00  3.3783448E-10  0.0000000E+00  0.0000000E+00
   se80     80   6.8715478E-09  1.7527778E-08  1.0656231E-08  9.6306474E-09  5.8554761E-09  2.1609329E-01
   br79     79   5.6986843E-10  6.9402145E-10  1.2415301E-10  3.8133049E-10  6.8220651E-11  7.4738568E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   8.3453111E-10  4.2673252E-09  3.4327940E-09  2.3446842E-09  1.8862807E-09  9.4478056E-02
   kr80     80  -7.4691503E-12  1.5139370E-10  1.5886285E-10  8.3183356E-11  8.7293311E-11 -2.0944526E-02
   kr81     81   3.1682234E-14  3.1682234E-14  0.0000000E+00  1.7407821E-14  0.0000000E+00  0.0000000E+00
   kr82     82   3.6554968E-09  4.6454423E-09  9.8994546E-10  2.5524409E-09  5.4396371E-10  6.7138577E-01
   kr83     83   1.2150625E-09  3.0567708E-09  1.8417083E-09  1.6795445E-09  1.0119976E-09  2.2001204E-01
   kr84     84   9.9476223E-09  1.9062405E-08  9.1147827E-09  1.0473849E-08  5.0084683E-09  3.2040137E-01
   kr-5     85   6.3174089E-16  6.3174089E-16  0.0000000E+00  3.4711040E-16  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   1.6129597E-08  1.8106272E-08  1.9766748E-09  9.9485016E-09  1.0861602E-09  9.6186382E-01
   rb85     85   3.4202519E-09  4.6929429E-09  1.2726911E-09  2.5785403E-09  6.9932904E-10  5.6669235E-01
