# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, with c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   zn68     68   4.6453316E-08  4.6722548E-08  2.6923089E-10  1.7591320E-08  1.0137376E-10  2.2393730E+00
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   4.0084233E-10  4.0084233E-10  0.0000000E+00  1.5091954E-10  0.0000000E+00  0.0000000E+00
   ga69     69   6.3886318E-09  1.4276455E-08  7.8878228E-09  5.3751710E-09  2.9700096E-09  2.5763443E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   5.8344258E-09  1.0312139E-08  4.4777129E-09  3.8825823E-09  1.6859976E-09  3.6226371E-01
   ge70     70   9.7892707E-09  1.2769553E-08  2.9802816E-09  4.8078133E-09  1.1221682E-09  6.3188964E-01
   ge71     71   6.9823667E-37  6.9823667E-37  0.0000000E+00  2.6289030E-37  0.0000000E+00  0.0000000E+00
   ge72     72   9.5918864E-09  2.0523222E-08  1.0931336E-08  7.7271167E-09  4.1159862E-09  2.7354357E-01
   ge73     73   2.8035794E-09  6.4862684E-09  3.6826890E-09  2.4421190E-09  1.3866464E-09  2.4580112E-01
   ge74     74   1.2297667E-08  3.0005793E-08  1.7708127E-08  1.1297361E-08  6.6676575E-09  2.2900374E-01
   as75     75   1.1045642E-09  4.2646562E-09  3.1600920E-09  1.6056687E-09  1.1898724E-09  1.3015553E-01
   se76     76   4.0373562E-09  5.0417461E-09  1.0043897E-09  1.8982478E-09  3.7818382E-10  7.0064998E-01
   se77     77   1.5743846E-09  3.6102703E-09  2.0358857E-09  1.3592885E-09  7.6657397E-10  2.4875756E-01
   se78     78   1.0371373E-08  1.6019779E-08  5.6484057E-09  6.0315433E-09  2.1267994E-09  4.5270193E-01
   se79     79   1.9630364E-09  1.9630364E-09  0.0000000E+00  7.3909501E-10  0.0000000E+00  0.0000000E+00
   se80     80   1.3153700E-08  2.8704815E-08  1.5551114E-08  1.0807535E-08  5.8554761E-09  2.6616445E-01
   br79     79   3.8839321E-10  5.6957528E-10  1.8118207E-10  2.1444851E-10  6.8220651E-11  4.9740720E-01
   br80     80   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   br81     81   1.7072486E-09  6.7168786E-09  5.0096300E-09  2.5289451E-09  1.8862807E-09  1.2733307E-01
   kr80     80  -4.6033177E-12  2.2723237E-10  2.3183569E-10  8.5554355E-11  8.7293311E-11 -8.7388391E-03
   kr81     81   2.8494478E-15  2.8494478E-15  0.0000000E+00  1.0728342E-15  0.0000000E+00  0.0000000E+00
   kr82     82   6.2036092E-09  7.6482811E-09  1.4446719E-09  2.8796239E-09  5.4396371E-10  7.2376585E-01
   kr83     83   2.1431752E-09  4.8308628E-09  2.6876876E-09  1.8188488E-09  1.0119976E-09  2.5461712E-01
   kr84     84   1.4762101E-08  2.8063713E-08  1.3301612E-08  1.0566157E-08  5.0084683E-09  3.2421210E-01
   kr-5     85  -2.8051468E-17 -2.8051468E-17  0.0000000E+00 -1.0561546E-17  0.0000000E+00  0.0000000E+00
   kr*5     85   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   kr86     86   8.5373408E-08  8.8258055E-08  2.8846503E-09  3.3229689E-08  1.0861602E-09  1.4856324E+00
   rb85     85   5.3285052E-09  7.1858004E-09  1.8572951E-09  2.7054969E-09  6.9932904E-10  5.8756554E-01
   rb86     86   3.6112647E-35  3.6112647E-35  0.0000000E+00  1.3596628E-35  0.0000000E+00  0.0000000E+00
   rb87     87   1.4988577E-08  1.5597333E-08  6.0875588E-10  5.8724896E-09  2.2921542E-10  1.4085784E+00
   sr86     86   2.8008973E-09  3.3162011E-09  5.1530374E-10  1.2485696E-09  1.9402781E-10  8.0854881E-01
   sr87     87   1.2876438E-09  1.6439781E-09  3.5633424E-10  6.1896760E-10  1.3417087E-10  6.6400969E-01
   sr88     88   4.0188585E-08  4.6031285E-08  5.8427014E-09  1.7331056E-08  2.1999580E-09  8.9641064E-01
   sr89     89   7.2532252E-30  7.2532252E-30  0.0000000E+00  2.7308829E-30  0.0000000E+00  0.0000000E+00
   sr90     90   1.5673751E-13  1.5673751E-13  0.0000000E+00  5.9012616E-14  0.0000000E+00  0.0000000E+00
    y89     89   1.2189289E-08  1.3865313E-08  1.6760244E-09  5.2203739E-09  6.3107508E-10  9.1762054E-01
    y90     90   3.9637717E-17  3.9637717E-17  0.0000000E+00  1.4923839E-17  0.0000000E+00  0.0000000E+00
    y91     91   2.7453809E-29  2.7453809E-29  0.0000000E+00  1.0336524E-29  0.0000000E+00  0.0000000E+00
