# Minitial =  5.00 msun, Z = 0.0016, Mfinal = 0.918 msun
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   ni63     63   3.1928626E-10  3.1928626E-10  0.0000000E+00  7.8218099E-11  0.0000000E+00  0.0000000E+00
   ni64     64   1.6751681E-06  1.6751681E-06  2.4460633E-14  4.1037927E-07  5.9926844E-15  7.8355641E+00
   cu63     63   7.1454969E-07  7.3210123E-07  1.7551567E-08  1.7934867E-07  4.3000115E-09  1.6202285E+00
   cu64     64   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   cu65     65   3.2676897E-07  3.4824450E-07  2.1475532E-08  8.5312230E-08  5.2613554E-09  1.2099136E+00
   zn64     64  -1.5415566E-08  3.0315005E-07  3.1856561E-07  7.4265081E-08  7.8046348E-08 -2.1567920E-02
   zn65     65  -3.2895184E-18 -3.2895184E-18  0.0000000E+00 -8.0585952E-19  0.0000000E+00  0.0000000E+00
   zn66     66   3.3476991E-07  3.3477957E-07  9.6570668E-12  8.2013621E-08  2.3659139E-12  4.5398870E+00
   zn67     67   7.4100740E-08  7.4102964E-08  2.2218091E-12  1.8153592E-08  5.4432771E-13  4.5231023E+00
   zn68     68   4.8592955E-07  4.8634331E-07  4.1378226E-10  1.1914339E-07  1.0137376E-10  3.0701444E+00
   zn69     69   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   zn70     70   4.1735384E-09  4.1735384E-09  0.0000000E+00  1.0224249E-09  0.0000000E+00  0.0000000E+00
   ga69     69   6.7318403E-08  7.9441236E-08  1.2122833E-08  1.9461352E-08  2.9700096E-09  8.1641513E-01
   ga70     70   0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
   ga71     71   6.1620383E-08  6.8502203E-08  6.8818187E-09  1.6781531E-08  1.6859976E-09  9.9797463E-01
   ge70     70   1.0360397E-07  1.0818438E-07  4.5804089E-09  2.6502789E-08  1.1221682E-09  1.3732336E+00
   ge71     71   1.7819609E-27  1.7819609E-27  0.0000000E+00  4.3654115E-28  0.0000000E+00  0.0000000E+00
   ge72     72   1.0554222E-07  1.2234264E-07  1.6800422E-08  2.9971250E-08  4.1159862E-09  8.6223096E-01
   ge73     73   3.1572483E-08  3.7232425E-08  5.6599423E-09  9.1211234E-09  1.3866464E-09  8.1808257E-01
