# Minitial =  3.50 msun, Z = 0.0016, Mfinal = 0.844 msun, no c13 pocket
  species    A      yield       mass(i)_lost    mass(i)_0        <X(i)>          X0(i)   log10(<X(i)>/X0(i)) 
   zr94     94   2.0112584E-10  7.6516371E-10  5.6403787E-10  2.8808872E-10  2.1237773E-10  1.3241729E-01
   zr95     95   7.6962997E-30  7.6962997E-30  0.0000000E+00  2.8977030E-30  0.0000000E+00  0.0000000E+00
   zr96     96   2.0771529E-10  4.1305148E-10  2.0533619E-10  1.5551636E-10  7.7315425E-11  3.0350992E-01
   nb93     93  -4.5803916E-12  2.9368016E-10  2.9826056E-10  1.1057234E-10  1.1230433E-10 -6.7499718E-03
   nb94     94   7.2461584E-17  7.2461584E-17  0.0000000E+00  2.7282222E-17  0.0000000E+00  0.0000000E+00
   nb95     95   9.2749258E-30  9.2749258E-30  0.0000000E+00  3.4920653E-30  0.0000000E+00  0.0000000E+00
   mo94     94  -2.1163973E-12  1.1017189E-10  1.1228828E-10  4.1480378E-11  4.2280013E-11 -8.2924133E-03
   mo95     95   2.2400803E-11  2.1763487E-10  1.9523407E-10  8.1940836E-11  7.3511669E-11  4.7144100E-02
   mo96     96   4.0244127E-11  1.6967690E-10  1.2943277E-10  6.3884370E-11  4.8735443E-11  1.1754969E-01
   mo97     97   1.6647454E-11  1.1976668E-10  1.0311923E-10  4.5092874E-11  3.8827584E-11  6.4967543E-02
   mo98     98   4.3785087E-11  2.5174107E-10  2.0795599E-10  9.4782023E-11  7.8301865E-11  8.2953848E-02
   tc99     99   5.0775456E-12  5.0775456E-12  0.0000000E+00  1.9117264E-12  0.0000000E+00  0.0000000E+00
   ru99     99   4.4811203E-13  1.4217364E-11  1.3769252E-11  5.3529230E-12  5.1845494E-12  1.3879993E-02
  ru100    100   1.7826435E-11  8.6515538E-11  6.8689103E-11  3.2573621E-11  2.5863572E-11  1.0017755E-01
  ru101    101  -1.1340928E-13  2.0576929E-10  2.0588270E-10  7.7473375E-11  7.7521205E-11 -2.6802835E-04
  ru102    102   1.6137314E-11  3.2949954E-10  3.1336223E-10  1.2405856E-10  1.1799059E-10  2.1779325E-02
  rh103    103  -9.2159613E-13  2.2738883E-10  2.2831043E-10  8.5613260E-11  8.5965943E-11 -1.7853961E-03
  pd104    104   1.0228297E-11  5.8934614E-11  4.8706317E-11  2.2189237E-11  1.8339436E-11  8.2756378E-02
  pd105    105  -1.4868384E-12  2.1181340E-10  2.1330024E-10  7.9749020E-11  8.0314137E-11 -3.0666403E-03
  pd106    106   8.0236512E-12  2.0984728E-10  2.0182363E-10  7.9008758E-11  7.5992844E-11  1.6902531E-02
