Isotope      A            Z            YIELD     
I132         132          53           0.00000E+00  
I133         133          53           0.00000E+00  
Xe28         128          54           3.14340E-10  
Xe29         129          54           3.66070E-10  
Xe30         130          54           6.46960E-10  
Xe31         131          54           3.65100E-10  
Xe32         132          54           1.36410E-09  
Xe33         133          54           0.00000E+00  
Xe34         134          54           8.00390E-10  
Xe35         135          54           0.00000E+00  
Xe36         136          54           4.00700E-10  
Cs33         133          55           2.23780E-10  
Cs34         134          55           0.00000E+00  
Cs35         135          55           1.81640E-10  
Cs36         136          55           0.00000E+00  
Cs37         137          55           1.17260E-13  
Ba34         134          56           3.34920E-10  
Ba35         135          56           1.51860E-10  
Ba36         136          56           1.07660E-09  
Ba37         137          56           2.03610E-09  
Ba38         138          56           1.40800E-08  
Ba39         139          56           0.00000E+00  
Ba40         140          56           0.00000E+00  
La39         139          57           1.73510E-09  
La40         140          57           0.00000E+00  
Ce40         140          58           4.26940E-09  
Ce41         141          58           0.00000E+00  
Ce42         142          58           8.47940E-10  
Ce43         143          58           0.00000E+00  
Ce44         144          58           0.00000E+00  
Pr41         141          59           5.14200E-10  
Pr42         142          59           0.00000E+00  
Pr43         143          59           0.00000E+00  
Pr45         145          59           0.00000E+00  
Nd42         142          60           8.94870E-10  
Nd43         143          60           2.50550E-10  
Nd44         144          60           9.26010E-10  
Nd45         145          60           1.79110E-10  
Nd46         146          60           8.18870E-10  
Nd47         147          60           0.00000E+00  
Nd48         148          60           1.78650E-10  
Nd49         149          60           0.00000E+00  
Nd50         150          60           1.69140E-11  
Pm45         145          61           0.00000E+00  
Pm46         146          61           0.00000E+00  
Pm47         147          61           0.00000E+00  
Pm48         148          61           0.00000E+00  
Pm49         149          61           0.00000E+00  
Pm50         150          61           0.00000E+00  
Pm51         151          61           0.00000E+00  
Sm44         144          62           1.42410E-12  
Sm45         145          62           0.00000E+00  
Sm46         146          62           0.00000E+00  
Sm47         147          62           1.01830E-10  
Sm48         148          62           1.89830E-10  
Sm49         149          62           4.87200E-11  
Sm50         150          62           1.75690E-10  
Sm51         151          62           0.00000E+00  
Sm52         152          62           1.65180E-10  
Sm53         153          62           0.00000E+00  
Sm54         154          62           9.00090E-11  
Eu51         151          63           3.40320E-11  
Eu52         152          63           0.00000E+00  
Eu53         153          63           4.04930E-11  
Eu54         154          63           0.00000E+00  
Eu55         155          63           0.00000E+00  
Eu56         156          63           0.00000E+00  
Eu57         157          63           0.00000E+00  
Gd52         152          64           2.07340E-12  
Gd53         153          64           0.00000E+00  
