#test case: AGB models
#description                       mass             Z   remnantmass
[evmodels]
5
m1.25_pmz2e-3                      1.20      1.60e-03          0.65
m2.5_pmz2e-3                       2.50      1.60e-03          0.68
m3.5_pmz1e-3                       3.50      1.60e-03          0.84
m5.0_nopmz                         5.00      1.60e-03          0.92
m6.5_nopmz                         6.50      1.60e-03          1.05

#species      type m1.25_pmz2e-3  m2.5_pmz2e-3  m3.5_pmz1e-3    m5.0_nopmz    m6.5_nopmz
[yields]
kr80      absolute  5.266699e-11  1.513937e-10  2.272324e-10  3.384272e-10  4.701873e-10
kr81      absolute  6.398647e-14  3.168223e-14  2.849448e-15  6.922579e-14  1.465387e-12
kr82      absolute  4.222813e-10  4.645442e-09  7.648281e-09  6.924148e-08  4.077635e-08
kr83      absolute  6.419751e-10  3.056771e-09  4.830863e-09  2.820411e-08  1.917051e-08
kr84      absolute  3.261335e-09  1.906240e-08  2.806371e-08  1.781509e-07  1.150307e-07
kr-5      absolute  8.655876e-22  6.317409e-16 -2.805147e-17 -4.909088e-13  7.753286e-12
kr*5      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
kr86      absolute  8.542868e-10  1.810627e-08  8.825805e-08  4.490738e-07  2.423534e-07
rb85      absolute  4.814279e-10  4.692943e-09  7.185800e-09  5.979147e-08  3.568562e-08
rb86      absolute  0.000000e+00  0.000000e+00  3.611265e-35  4.645773e-26 -1.375504e-24
rb87      absolute  1.588435e-10  4.213002e-09  1.559733e-08  1.071890e-07  6.006158e-08
sr86      absolute  1.953774e-10  2.610204e-09  3.316201e-09  2.780161e-08  1.493560e-08
sr87      absolute  1.429108e-10  1.585884e-09  1.643978e-09  1.251401e-08  6.604334e-09
sr88      absolute  2.424896e-09  5.197055e-08  4.603128e-08  2.297594e-07  1.257968e-07
sr89      absolute  0.000000e+00  0.000000e+00  7.253225e-30  2.353802e-22 -5.673316e-19
sr90      absolute  3.964249e-18  7.874791e-13  1.567375e-13  2.444128e-12  4.701477e-11
y89       absolute  7.061561e-10  1.660117e-08  1.386531e-08  5.928104e-08  3.249407e-08
y90       absolute  1.002528e-21  1.991474e-16  3.963772e-17  6.181014e-16  1.188967e-14
