#test case: FRUITY database models from Straniero et al. 2014 
#modelname                         mass             Z   remnantmass      lifetime
[stellarmodels]
7
A:m1p5z3m4                         1.50      3.00e-04         0.647  1.850000e+09
B:m2p0z3m4                         2.00      3.00e-04         0.669  8.460000e+08
C:m2p5z3m4                         2.50      3.00e-04         0.725  4.920000e+08
D:m3p0z3m4                         3.00      3.00e-04         0.823  3.020000e+08
E:m4p0z3m4                         4.00      3.00e-04         0.887  1.480000e+08
F:m5p0z3m4                         5.00      3.00e-04         0.955  8.930000e+07
G:m6p0z3m4                         6.00      3.00e-04         1.059  6.060000e+07

#species      type             A             B             C             D             E             F             G
[yields]
co60      absolute  0.000000e+00  0.000000e+00  3.825900e-13  2.500600e-13  3.968200e-13  4.189800e-13  2.848500e-13
ni58      absolute  9.202900e-07  1.421600e-06  1.906700e-06  2.366100e-06  3.398100e-06  4.427600e-06  5.427900e-06
ni59      absolute  3.728600e-10  6.070000e-10  2.450400e-10  2.247300e-10  1.693800e-10  9.418100e-10  3.160000e-09
ni60      absolute  3.940500e-07  6.122100e-07  8.265600e-07  9.886200e-07  1.400500e-06  1.801300e-06  2.183700e-06
ni61      absolute  2.559000e-08  4.395000e-08  6.591300e-08  6.895900e-08  9.308600e-08  1.090500e-07  1.158000e-07
ni62      absolute  7.191500e-08  1.174200e-07  1.769200e-07  1.975600e-07  2.814700e-07  3.385600e-07  3.600900e-07
ni63      absolute  2.362300e-13  1.464800e-12  5.628000e-12  2.045900e-11  3.659900e-11  5.208000e-11  6.040300e-11
ni64      absolute  3.793700e-08  3.881900e-08  8.745500e-08  1.032000e-07  1.667400e-07  1.989400e-07  1.586300e-07
ni65      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ni66      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
cu63      absolute  2.194800e-08  3.412600e-08  6.147500e-08  6.480900e-08  9.569600e-08  1.104300e-07  9.964200e-08
cu64      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
cu65      absolute  1.250700e-08  1.222100e-08  2.326200e-08  2.916200e-08  4.629800e-08  5.677800e-08  4.908400e-08
cu66      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
cu67      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
zn64      absolute  2.122200e-08  3.008700e-08  3.998500e-08  4.964800e-08  7.099100e-08  9.223700e-08  1.127300e-07
zn65      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
zn66      absolute  1.666800e-08  2.091600e-08  3.217700e-08  4.089400e-08  6.178400e-08  7.813600e-08  8.038800e-08
zn67      absolute  2.829800e-09  3.381100e-09  5.425900e-09  6.980800e-09  1.071200e-08  1.347300e-08  1.307900e-08
zn68      absolute  1.339400e-08  1.612700e-08  2.712000e-08  3.685100e-08  5.758400e-08  7.250600e-08  6.628500e-08
zn69      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
zn70      absolute  2.791000e-10  4.524700e-10  8.048200e-10  1.040000e-09  1.618200e-09  1.983800e-09  1.861100e-09
ga69      absolute  1.522000e-09  1.697600e-09  3.040600e-09  4.261200e-09  6.759600e-09  8.458400e-09  7.194600e-09
ga70      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ga71      absolute  1.149600e-09  1.182200e-09  2.121600e-09  3.002200e-09  4.585100e-09  5.528100e-09  4.579400e-09
ga72      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ga73      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ge70      absolute  2.059800e-09  2.161600e-09  3.986700e-09  5.815100e-09  9.281800e-09  1.156000e-08  9.363300e-09
ge71      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ge72      absolute  2.378400e-09  2.634700e-09  4.567800e-09  6.894300e-09  1.098700e-08  1.390400e-08  1.170200e-08
ge73      absolute  6.806200e-10  7.597200e-10  1.321600e-09  2.017400e-09  3.224000e-09  4.079300e-09  3.390100e-09
ge74      absolute  3.499400e-09  3.965100e-09  6.827600e-09  1.116500e-08  1.782400e-08  2.246100e-08  1.775100e-08
ge75      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
ge76      absolute  3.455300e-10  5.671000e-10  9.523600e-10  1.347900e-09  2.135200e-09  2.667800e-09  2.425600e-09
ge77      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
as75      absolute  4.145300e-10  4.988300e-10  8.216600e-10  1.300900e-09  2.056000e-09  2.602800e-09  2.182500e-09
as76      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
as77      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
se76      absolute  6.618300e-10  7.175300e-10  1.276500e-09  2.229600e-09  3.595200e-09  4.520700e-09  3.319000e-09
se77      absolute  3.595000e-10  4.391100e-10  7.220800e-10  1.164200e-09  1.838600e-09  2.319000e-09  1.913900e-09
se78      absolute  1.651600e-09  1.866200e-09  3.227800e-09  5.886900e-09  9.500100e-09  1.198500e-08  8.687700e-09
se79      absolute  9.752700e-11  1.146800e-10  2.983200e-10  6.882400e-10  1.222300e-09  1.575200e-09  9.845600e-10
se80      absolute  2.363000e-09  3.136300e-09  4.940400e-09  8.649500e-09  1.376900e-08  1.765700e-08  1.414700e-08
se81      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
se82      absolute  2.295100e-10  3.768100e-10  6.626900e-10  1.139100e-09  2.177700e-09  3.019200e-09  2.027000e-09
br79      absolute  3.427000e-10  4.269600e-10  5.805800e-10  8.099800e-10  1.158300e-09  1.436900e-09  1.414300e-09
br80      absolute  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
